"dateid01","consn","hours","inc"
1/1/1971,0.045188,-0.008979,0.054407
1/1/1972,0.042673,-0.008105,0.037263
1/1/1973,0.044823,-0.009396,0.059006
1/1/1974,0.016011,-0.011543,0.042675
1/1/1975,0.025286,-0.020935,0.044989
1/1/1976,0.046948,-0.013316,0.032895
1/1/1977,0.022231,0.000618,0.025622
1/1/1978,0.031255,-0.005641,0.041276
1/1/1979,0.024114,-0.00347,-0.000645
1/1/1980,0.002031,-0.006844,0.000582
1/1/1981,0.018379,-0.02348,0.012741
1/1/1982,0.024002,-0.048808,0.015271
1/1/1983,0.001753,-0.015301,-0.011975
1/1/1984,0.007354,-0.010417,-0.017426
1/1/1985,0.018691,-0.021081,-0.000648
1/1/1986,0.032521,-0.006049,0.02035
1/1/1987,0.023384,0.004625,-0.006654
1/1/1988,0.022247,0.008531,0.024794
1/1/1989,0.0327,0.006482,0.012961
1/1/1990,0.013796,-0.00233,0.023403
1/1/1991,-0.000483,-0.009793,0.008283
1/1/1992,0.001799,-0.010537,0.0051
1/1/1993,-0.009751,-0.024576,-0.001207
1/1/1994,0.004873,-0.006054,-0.003157
1/1/1995,0.005245,-0.009402,0.012748
1/1/1996,0.008225,0.002987,-0.003384
1/1/1997,-0.003118,-0.002914,0.013849
1/1/1998,0.02996,0.004653,0.028427
1/1/1999,0.019029,0.011287,0.023442
1/1/2000,0.03553,-0.004539,0.024791
1/1/2001,0.018235,0.002317,0.021606
1/1/2002,0.006112,-0.027134,0.022299
1/1/2003,0.011921,-0.008642,-0.001063
1/1/2004,0.014022,0.012427,0.012005
1/1/2005,0.018494,-0.00354,0.009333
1/1/2006,0.02359,0.014448,0.019316
1/1/2007,0.023423,0.006105,0.02572
