"dateid01","gdp"
1/1/1984,7.1406
4/1/1984,7.266
7/1/1984,7.3375
10/1/1984,7.396
1/1/1985,7.4695
4/1/1985,7.5379
7/1/1985,7.6552
10/1/1985,7.7126
1/1/1986,7.7841
4/1/1986,7.8198
7/1/1986,7.8986
10/1/1986,7.9395
1/1/1987,7.995
4/1/1987,8.0847
7/1/1987,8.158
10/1/1987,8.2927
1/1/1988,8.3393
4/1/1988,8.4495
7/1/1988,8.4983
10/1/1988,8.6109
1/1/1989,8.6977
4/1/1989,8.7661
7/1/1989,8.8315
10/1/1989,8.8502
1/1/1990,8.9471
4/1/1990,8.9817
7/1/1990,8.9839
10/1/1990,8.9074
1/1/1991,8.8656
4/1/1991,8.9344
7/1/1991,8.9773
10/1/1991,9.0164
1/1/1992,9.123
4/1/1992,9.2235
7/1/1992,9.3132
10/1/1992,9.4065
1/1/1993,9.4241
4/1/1993,9.4801
7/1/1993,9.5263
10/1/1993,9.6535
1/1/1994,9.7482
4/1/1994,9.8814
7/1/1994,9.9397
10/1/1994,10.0525
1/1/1995,10.0869
4/1/1995,10.1221
7/1/1995,10.2088
10/1/1995,10.2812
1/1/1996,10.3487
4/1/1996,10.5294
7/1/1996,10.6268
10/1/1996,10.7391
1/1/1997,10.8209
4/1/1997,10.9842
7/1/1997,11.124
10/1/1997,11.2103
1/1/1998,11.3212
4/1/1998,11.431
7/1/1998,11.5806
10/1/1998,11.7707
1/1/1999,11.8647
4/1/1999,11.9625
7/1/1999,12.1131
10/1/1999,12.3233
1/1/2000,12.3591
4/1/2000,12.5925
7/1/2000,12.6077
10/1/2000,12.6793
1/1/2001,12.6433
4/1/2001,12.7103
7/1/2001,12.6701
10/1/2001,12.7053
1/1/2002,12.8223
4/1/2002,12.893
7/1/2002,12.9558
10/1/2002,12.964
1/1/2003,13.0312
4/1/2003,13.1521
7/1/2003,13.3724
10/1/2003,13.5287
1/1/2004,13.6065
4/1/2004,13.7062
7/1/2004,13.8308
10/1/2004,13.9504
1/1/2005,14.0991
4/1/2005,14.1727
7/1/2005,14.2918
10/1/2005,14.3734
1/1/2006,14.5461
4/1/2006,14.5896
7/1/2006,14.6026
10/1/2006,14.7169
1/1/2007,14.726
4/1/2007,14.8387
7/1/2007,14.9385
10/1/2007,14.9918
1/1/2008,14.8895
4/1/2008,14.9634
7/1/2008,14.8916
10/1/2008,14.577
1/1/2009,14.375
4/1/2009,14.3556
7/1/2009,14.4025
10/1/2009,14.5419
1/1/2010,14.6048
4/1/2010,14.7459
7/1/2010,14.8455
10/1/2010,14.939
1/1/2011,14.8813
4/1/2011,14.9896
7/1/2011,15.0211
10/1/2011,15.1903
1/1/2012,15.291
4/1/2012,15.3624
7/1/2012,15.3808
10/1/2012,15.3843
1/1/2013,15.4919
4/1/2013,15.5216
7/1/2013,15.6413
10/1/2013,15.7939
1/1/2014,15.747
4/1/2014,15.9008
7/1/2014,16.0945
10/1/2014,16.1867
1/1/2015,16.269
4/1/2015,16.3742
7/1/2015,16.4549
10/1/2015,16.4907
1/1/2016,16.525
4/1/2016,16.5831
7/1/2016,16.727
10/1/2016,16.8048
