"dateid01","iron","xrate"
1/1/2010,125.91,0.8909
2/1/2010,127.62,0.8899
3/1/2010,139.77,0.9159
4/1/2010,172.47,0.93
5/1/2010,161.35,0.849
6/1/2010,143.63,0.8523
7/1/2010,126.36,0.8986
8/1/2010,145.34,0.8918
9/1/2010,140.63,0.9667
10/1/2010,148.48,0.9761
11/1/2010,160.55,0.9618
12/1/2010,168.53,1.0163
1/1/2011,179.63,0.9924
2/1/2011,187.18,1.0163
3/1/2011,169.36,1.0334
4/1/2011,179.26,1.09
5/1/2011,177.09,1.0709
6/1/2011,170.88,1.0739
7/1/2011,172.98,1.0954
8/1/2011,177.45,1.0691
9/1/2011,177.23,0.9781
10/1/2011,150.43,1.0509
11/1/2011,135.54,1.0021
12/1/2011,136.45,1.0156
1/1/2012,140.35,1.0637
2/1/2012,140.4,1.0816
3/1/2012,144.66,1.0402
4/1/2012,147.65,1.0453
5/1/2012,136.27,0.9727
6/1/2012,134.62,1.0191
7/1/2012,127.94,1.0526
8/1/2012,107.8,1.0301
9/1/2012,99.47,1.0464
10/1/2012,113.95,1.0378
11/1/2012,120.35,1.0431
12/1/2012,128.87,1.0384
1/1/2013,150.49,1.0394
2/1/2013,154.64,1.0275
3/1/2013,139.87,1.0426
4/1/2013,137.39,1.0368
5/1/2013,124.01,0.9649
6/1/2013,114.81,0.9275
7/1/2013,127.19,0.9037
8/1/2013,137.06,0.8947
9/1/2013,134.19,0.9309
10/1/2013,132.57,0.949
11/1/2013,136.32,0.9087
12/1/2013,135.79,0.8948
1/1/2014,128.12,0.8763
2/1/2014,121.37,0.8947
3/1/2014,111.83,0.9221
4/1/2014,114.58,0.9287
5/1/2014,100.56,0.9319
6/1/2014,92.74,0.942
7/1/2014,95.97,0.9324
8/1/2014,92.63,0.9349
9/1/2014,82.27,0.8752
10/1/2014,80.09,0.8805
11/1/2014,73.12,0.8491
12/1/2014,68.8,0.8202
1/1/2015,67.39,0.7781
2/1/2015,62.69,0.7792
3/1/2015,56.94,0.7634
4/1/2015,51.15,0.7981
5/1/2015,60.23,0.7663
6/1/2015,62.29,0.768
7/1/2015,51.5,0.7294
8/1/2015,55.38,0.7149
9/1/2015,56.43,0.701
10/1/2015,52.74,0.7099
11/1/2015,46.16,0.7189
12/1/2015,39.6,0.7306
1/1/2016,41.25,0.71
2/1/2016,46.18,0.714
3/1/2016,55.52,0.7657
4/1/2016,59.58,0.7655
5/1/2016,54.85,0.7242
6/1/2016,51.36,0.7426
7/1/2016,56.57,0.7522
8/1/2016,60.47,0.7514
9/1/2016,56.67,0.763
10/1/2016,58.02,0.7613
11/1/2016,72.25,0.7474
12/1/2016,79.43,0.7236
