"dateid01","cons","cpi","inc"
1/1/1975,63.124,15.3,95.323
4/1/1975,66.146,15.8,101.633
7/1/1975,67.579,15.9,98.927
10/1/1975,70.756,16.8,112.559
1/1/1976,64.925,17.3,98.376
4/1/1976,68.746,17.7,102.3
7/1/1976,70.343,18.1,104.501
10/1/1976,73.719,19.2,117.32
1/1/1977,66.852,19.6,98.866
4/1/1977,69.9,20.1,103.765
7/1/1977,70.302,20.5,103.673
10/1/1977,74.671,21,114.872
1/1/1978,67.84,21.3,97.509
4/1/1978,72.203,21.7,103.338
7/1/1978,72.312,22.1,104.131
10/1/1978,76.624,22.6,119.06
1/1/1979,70.47,23,106.153
4/1/1979,72.716,23.6,106.688
7/1/1979,73.182,24.2,108.493
10/1/1979,77.353,24.9,125.297
1/1/1980,72.193,25.4,106.465
4/1/1980,73.756,26.2,110.245
7/1/1980,75.466,26.6,112.857
10/1/1980,80.827,27.2,128.429
1/1/1981,74.108,27.8,107.395
4/1/1981,77.574,28.4,115.667
7/1/1981,80.038,29,118.716
10/1/1981,83.914,30.2,134.327
1/1/1982,77.169,30.8,108.5
4/1/1982,81.102,31.5,115.427
7/1/1982,81.512,32.6,116.17
10/1/1982,86.723,33.6,127.356
1/1/1983,79.344,34.3,105.239
4/1/1983,80.374,35,111.499
7/1/1983,81.713,35.6,113.072
10/1/1983,86.959,36.5,132.087
1/1/1984,81.223,36.3,114.592
4/1/1984,83.481,36.4,119.934
7/1/1984,83.762,36.9,120.349
10/1/1984,89.807,37.4,138.082
1/1/1985,82.821,37.9,117.178
4/1/1985,85.781,38.8,124.845
7/1/1985,88.476,39.7,126.594
10/1/1985,95.319,40.5,139.979
1/1/1986,84.879,41.4,119.605
4/1/1986,88.482,42.1,124.569
7/1/1986,90.549,43.2,124.411
10/1/1986,95.61,44.4,138.854
1/1/1987,86.89,45.3,122.124
4/1/1987,89.246,46,130.336
7/1/1987,91.831,46.8,133.931
10/1/1987,98.441,47.6,149.027
1/1/1988,90.775,48.4,131.992
4/1/1988,92.241,49.3,139.205
7/1/1988,94.926,50.2,142.11
10/1/1988,101.645,51.2,157.552
1/1/1989,95.06,51.7,138.725
4/1/1989,97.081,53,146.797
7/1/1989,99.079,54.2,149.747
10/1/1989,104.868,55.2,161.59
1/1/1990,96.92,56.2,140.169
4/1/1990,99.021,57.1,147.125
7/1/1990,101.339,57.5,148.282
10/1/1990,105.647,59,158.371
1/1/1991,97.82,58.9,135.907
4/1/1991,99.914,59,140.171
7/1/1991,103.298,59.3,143.28
10/1/1991,108.775,59.9,153.512
1/1/1992,101.352,59.9,139.357
4/1/1992,104.223,59.7,144.88
7/1/1992,106.555,59.8,146.839
10/1/1992,112.797,60.1,159.271
1/1/1993,103.467,60.6,146.902
4/1/1993,106.224,60.8,150.03
7/1/1993,107.874,61.1,151.203
10/1/1993,115.905,61.2,164.982
1/1/1994,106.754,61.5,151.759
4/1/1994,108.759,61.9,156.161
7/1/1994,112.673,62.3,159.618
10/1/1994,119.158,62.8,171.055
1/1/1995,109.861,63.8,154.348
4/1/1995,112.757,64.7,162.615
7/1/1995,114.075,65.5,165.365
10/1/1995,121.218,66,178.964
1/1/1996,112.548,66.2,162.473
4/1/1996,115.019,66.7,170.757
7/1/1996,116.653,66.9,171.823
10/1/1996,124.327,67,191.308
1/1/1997,115.714,67.1,167.797
4/1/1997,120.303,66.9,178.821
7/1/1997,124.943,66.6,181.192
10/1/1997,133.299,66.8,196.978
1/1/1998,123.221,67,177.459
4/1/1998,126.858,67.4,185.682
7/1/1998,130.856,67.5,187.228
10/1/1998,138.668,67.8,205.089
1/1/1999,130.454,67.8,186.042
4/1/1999,133.57,68.1,191.83
7/1/1999,136.207,68.7,196.539
10/1/1999,145.025,69.1,211.174
1/1/2000,134.188,69.7,197.165
4/1/2000,137.276,70.2,202.935
7/1/2000,139.052,72.9,204.891
10/1/2000,147.111,73.1,215.274
1/1/2001,136.916,73.9,198.832
4/1/2001,139.753,74.5,204.74
7/1/2001,142.143,74.7,209.527
10/1/2001,150.743,75.4,226.002
1/1/2002,140.507,76.1,207.201
4/1/2002,145.005,76.6,216.274
7/1/2002,149.248,77.1,218.642
10/1/2002,157.985,77.6,234.184
1/1/2003,145.823,78.6,211.412
4/1/2003,149.726,78.6,220.051
7/1/2003,153.463,79.1,226.016
10/1/2003,164.64,79.5,246.901
1/1/2004,153.586,80.2,225.405
4/1/2004,157.048,80.6,234.592
7/1/2004,161.415,80.9,236.6
10/1/2004,170.979,81.5,253.207
1/1/2005,157.456,82.1,231.259
4/1/2005,162.584,82.6,245.078
7/1/2005,165.125,83.4,248.502
10/1/2005,175.094,83.8,267.094
1/1/2006,163.795,84.5,242.408
4/1/2006,167.76,85.9,252.334
7/1/2006,170.856,86.7,256.79
10/1/2006,183.176,86.6,275.973
1/1/2007,174.48,86.6,254.606
4/1/2007,178.726,87.7,267.722
7/1/2007,182.579,88.3,270.631
10/1/2007,194.103,89.1,289.831
1/1/2008,180.725,90.3,264.683
4/1/2008,181.754,91.6,284.374
7/1/2008,182.563,92.7,292.82
10/1/2008,192.118,92.4,306.074
1/1/2009,180.635,92.5,272.864
4/1/2009,184.864,92.9,277.842
7/1/2009,186.817,93.8,278.132
10/1/2009,197.573,94.3,295.871
1/1/2010,184.78,95.2,271.068
4/1/2010,189.504,95.8,300.348
7/1/2010,192.514,96.5,299.537
10/1/2010,202.614,96.9,319.052
