"dateid01","eaf","t"
1/1/1970,0.153,1
1/1/1971,0.174,2
1/1/1972,0.178,3
1/1/1973,0.184,4
1/1/1974,0.197,5
1/1/1975,0.194,6
1/1/1976,0.192,7
1/1/1977,0.222,8
1/1/1978,0.235,9
1/1/1979,0.246,10
1/1/1980,0.272,11
1/1/1981,0.283,12
1/1/1982,0.311,13
1/1/1983,0.315,14
1/1/1984,0.339,15
1/1/1985,0.339,16
1/1/1986,0.372,17
1/1/1987,0.381,18
1/1/1988,0.369,19
1/1/1989,0.359,20
1/1/1990,0.373,21
1/1/1991,0.384,22
1/1/1992,0.38,23
1/1/1993,0.394,24
1/1/1994,0.393,25
1/1/1995,0.404,26
1/1/1996,0.426,27
1/1/1997,0.438,28
1/1/1998,0.446,29
1/1/1999,0.451,30
1/1/2000,0.47,31
1/1/2001,0.474,32
1/1/2002,0.504,33
1/1/2003,0.51,34
1/1/2004,0.521,35
1/1/2005,0.55,36
1/1/2006,0.569,37
1/1/2007,0.581,38
1/1/2008,0.581,39
1/1/2009,0.617,40
1/1/2010,0.613,41
1/1/2011,0.603,42
1/1/2012,0.591,43
1/1/2013,0.606,44
1/1/2014,0.626,45
1/1/2015,0.63,46
